County,Zip,School,Type of Organization,Any Building with Lead-Free Plumbing?,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,County Location
Hamilton,12842,INDIAN LAKE CENTRAL SCHOOL,Public School,No,9.0,3.0,9.0,3.0,"(43.618468, -74.395268)"
Hamilton,12847,LONG LAKE CENTRAL SCHOOL,Public School,No,20.0,11.0,20.0,11.0,"(43.618468, -74.395268)"
Herkimer,13329,DOLGEVILLE ELEMENTARY SCHOOL,Public School,No,100.0,24.0,100.0,24.0,"(43.070026, -74.994246)"
Herkimer,13329,DOLGEVILLE MIDDLE SCHOOL,Public School,No,100.0,24.0,100.0,24.0,"(43.070026, -74.994246)"
Herkimer,13329,JAMES A GREEN HIGH SCHOOL,Public School,No,100.0,24.0,100.0,24.0,"(43.070026, -74.994246)"
Herkimer,13340,FRANKFORT SCHUYLER ELEMENTARY SCHOOL,Public School,No,59.0,7.0,59.0,7.0,"(43.070026, -74.994246)"
Herkimer,13350,(LEAD ONLY) HERKIMER-FULTON-HAMILTON-OTSEGO BOCES BUCKSAKER ED CTR,BOCES School,No,86.0,17.0,86.0,17.0,"(43.070026, -74.994246)"
Herkimer,13350,HERKIMER-FULTON-HAMILTON-OTSEGO BOCES-1,BOCES School,No,86.0,17.0,86.0,17.0,"(43.070026, -74.994246)"
Herkimer,13357,BARRINGER ROAD ELEM SCHOOL,Public School,Yes (Partial Building),107.0,5.0,107.0,5.0,"(43.070026, -74.994246)"
Herkimer,13357,CENTRAL VALLEY ACADEMY,Public School,Yes (Partial Building),138.0,11.0,138.0,11.0,"(43.070026, -74.994246)"
Herkimer,13357,HERKIMER-FULTON-HAMILTON-OTSEGO BOCES-2,BOCES School,No,58.0,34.0,58.0,34.0,"(43.070026, -74.994246)"
Herkimer,13365,BENTON HALL SCHOOL,Public School,No,149.0,3.0,149.0,3.0,"(43.070026, -74.994246)"
Herkimer,13365,LITTLE FALLS HIGH SCHOOL,Public School,No,58.0,2.0,58.0,2.0,"(43.070026, -74.994246)"
Herkimer,13407,GREGORY B. JARVIS MIDDLE SCHOOL,Public School,Yes (Entire Building),152.0,1.0,152.0,1.0,"(43.070026, -74.994246)"
Herkimer,13407,HARRY M FISHER ELEMENTARY SCHOOL,Public School,Yes (Partial Building),118.0,3.0,118.0,3.0,"(43.070026, -74.994246)"
Herkimer,13416,WEST CANADA VALLEY ELEM SCHOOL,Public School,No,96.0,1.0,96.0,1.0,"(43.070026, -74.994246)"
Herkimer,13416,WEST CANADA VALLEY J S H S,Public School,No,75.0,6.0,75.0,6.0,"(43.070026, -74.994246)"
Herkimer,13420,TOWN OF WEBB SCHOOL,Public School,No,67.0,0.0,67.0,0.0,"(43.070026, -74.994246)"
Herkimer,13431,POLAND ES/JSHS (AND ES FOR LEAD REPORTING),Public School,No,103.0,26.0,103.0,26.0,"(43.070026, -74.994246)"
Herkimer,13491,MOUNT MARKHAM ELEM SCHOOL,Public School,No,113.0,29.0,113.0,29.0,"(43.070026, -74.994246)"
Herkimer,13491,MOUNT MARKHAM MIDDLE SCHOOL,Public School,No,109.0,3.0,109.0,3.0,"(43.070026, -74.994246)"
Herkimer,13491,MOUNT MARKHAM S H S,Public School,No,115.0,34.0,115.0,34.0,"(43.070026, -74.994246)"
Jefferson,13343,(LEAD ONLY) JEFFERSON-LEWIS-HAMILTON-HERKIMER-ONEIDA BOCES ADULT LEARNING CTR,BOCES School,No,11.0,1.0,11.0,1.0,"(44.019295, -75.898971)"
Jefferson,13343,(LEAD ONLY) JEFFERSON-LEWIS-HAMILTON-HERKIMER-ONEIDA BOCES HOWARD SACKETT CTR,BOCES School,No,34.0,6.0,34.0,6.0,"(44.019295, -75.898971)"
Jefferson,13601,(LEAD ONLY) JEFFERSON-LEWIS-HAMILTON-HERKIMER-ONEIDA BOCES CHARLES BOHLEN CTR,BOCES School,No,55.0,35.0,55.0,35.0,"(44.019295, -75.898971)"
Jefferson,13601,CASE MIDDLE SCHOOL,Public School,No,86.0,0.0,86.0,0.0,"(44.019295, -75.898971)"
Jefferson,13601,HAROLD T WILEY SCHOOL,Public School,No,104.0,6.0,104.0,6.0,"(44.019295, -75.898971)"
Jefferson,13601,JEFFERSON-LEWIS BOCES,BOCES School,No,14.0,1.0,14.0,1.0,"(44.019295, -75.898971)"
Jefferson,13601,KNICKERBOCKER SCHOOL,Public School,No,78.0,5.0,78.0,5.0,"(44.019295, -75.898971)"
Jefferson,13601,NORTH ELEMENTARY SCHOOL,Public School,No,50.0,7.0,50.0,7.0,"(44.019295, -75.898971)"
Jefferson,13601,OHIO STREET SCHOOL,Public School,No,47.0,18.0,47.0,18.0,"(44.019295, -75.898971)"
Jefferson,13601,SHERMAN SCHOOL,Public School,No,66.0,4.0,66.0,4.0,"(44.019295, -75.898971)"
Jefferson,13601,STARBUCK ELEMENTARY SCHOOL,Public School,No,49.0,1.0,49.0,1.0,"(44.019295, -75.898971)"
Jefferson,13601,WATERTOWN S H S,Public School,No,60.0,28.0,60.0,28.0,"(44.019295, -75.898971)"
Jefferson,13605,BELLEVILLE HENDERSON CENTRAL SCHOOL,Public School,No,53.0,0.0,53.0,0.0,"(44.019295, -75.898971)"
Jefferson,13605,GEN BRUCE E CLARK HS,Public School,No,30.0,9.0,30.0,9.0,"(44.019295, -75.898971)"
Jefferson,13605,MANNSVILLE MANOR ELEM SCHOOL,Public School,No,68.0,2.0,68.0,2.0,"(44.019295, -75.898971)"
Jefferson,13605,MAYNARD P WILSON SCHOOL,Public School,No,68.0,3.0,68.0,3.0,"(44.019295, -75.898971)"
Jefferson,13605,SOUTH JEFFERSON MIDDLE SCHOOL,Public School,No,34.0,6.0,34.0,6.0,"(44.019295, -75.898971)"
Jefferson,13607,ALEXANDRIA CENTRAL ES,Public School,No,29.0,1.0,29.0,1.0,"(44.019295, -75.898971)"
Jefferson,13607,ALEXANDRIA CENTRAL HS,Public School,No,37.0,4.0,37.0,4.0,"(44.019295, -75.898971)"
Jefferson,13608,ANTWERP PRIMARY SCHOOL,Public School,No,25.0,0.0,25.0,0.0,"(44.019295, -75.898971)"
Jefferson,13612,BLACK RIVER SCHOOL,Public School,No,108.0,6.0,108.0,6.0,"(44.019295, -75.898971)"
Jefferson,13615,BROWNVILLE SCHOOL,Public School,No,64.0,10.0,64.0,10.0,"(44.019295, -75.898971)"
Jefferson,13617,CALCIUM PRIMARY SCHOOL,Public School,No,91.0,0.0,91.0,0.0,"(44.019295, -75.898971)"
Jefferson,13618,CAPE VINCENT ELEM SCHOOL,Public School,No,17.0,0.0,17.0,0.0,"(44.019295, -75.898971)"
Jefferson,13619,CARTHAGE CENTRAL HIGH SCHOOL,Public School,No,82.0,0.0,82.0,0.0,"(44.019295, -75.898971)"
Jefferson,13619,CARTHAGE MIDDLE SCHOOL,Public School,No,110.0,1.0,110.0,1.0,"(44.019295, -75.898971)"
Jefferson,13619,WEST CARTHAGE ELEM SCHOOL,Public School,No,80.0,1.0,80.0,1.0,"(44.019295, -75.898971)"
Jefferson,13622,LYME CENTRAL SCHOOL,Public School,No,41.0,3.0,41.0,3.0,"(44.019295, -75.898971)"
Jefferson,13624,GUARDINO ELEM SCHOOL,Public School,No,51.0,2.0,51.0,2.0,"(44.019295, -75.898971)"
Jefferson,13624,THOUSAND ISLANDS H S,Public School,No,32.0,0.0,32.0,0.0,"(44.019295, -75.898971)"
Jefferson,13624,THOUSAND ISLANDS MIDDLE SCHOOL,Public School,No,21.0,0.0,21.0,0.0,"(44.019295, -75.898971)"
Jefferson,13634,GENERAL BROWN J S H S,Public School,No,80.0,10.0,80.0,10.0,"(44.019295, -75.898971)"
Jefferson,13637,EVANS MILLS PRIMARY SCHOOL,Public School,No,65.0,0.0,65.0,0.0,"(44.019295, -75.898971)"
Jefferson,13656,LAFARGEVILLE CENTRAL SCHOOL,Public School,No,52.0,5.0,52.0,5.0,"(44.019295, -75.898971)"
Jefferson,13673,INDIAN RIVER HIGH SCHOOL,Public School,No,81.0,0.0,81.0,0.0,"(44.019295, -75.898971)"
Jefferson,13673,INDIAN RIVER INTERMEDIATE SCHOOL,Public School,No,56.0,0.0,56.0,0.0,"(44.019295, -75.898971)"
Jefferson,13673,INDIAN RIVER MIDDLE SCHOOL,Public School,No,102.0,0.0,102.0,0.0,"(44.019295, -75.898971)"
Jefferson,13685,SACKETS HARBOR CENTRAL SCHOOL,Public School,No,73.0,1.0,73.0,1.0,"(44.019295, -75.898971)"
Jefferson,13691,THERESA BRANCH SCHOOL,Public School,No,28.0,0.0,28.0,0.0,"(44.019295, -75.898971)"
Kings,11201,K008,Public School,No,100.0,0.0,100.0,0.0,"(40.700709, -73.992841)"
Kings,11201,K029,Public School,No,79.0,0.0,79.0,0.0,"(40.686843, -73.997447)"
Kings,11201,K261,Public School,No,132.0,0.0,132.0,0.0,"(40.687218, -73.988667)"
Kings,11201,K287,Public School,No,134.0,0.0,134.0,0.0,"(40.697856, -73.981120)"
Kings,11201,K293,Public School,No,137.0,0.0,137.0,0.0,"(40.685006, -73.993293)"
Kings,11201,K307,Public School,No,135.0,0.0,135.0,0.0,"(40.701789, -73.981599)"
Kings,11201,K313,Public School,No,176.0,0.0,176.0,0.0,"(40.694629, -73.988323)"
Kings,11201,K580,Public School,No,241.0,0.0,241.0,0.0,"(40.695444, -73.986105)"
Kings,11201,K804,Public School,No,67.0,0.0,67.0,0.0,"(40.684869, -73.990884)"
Kings,11201,K805,Public School,No,160.0,0.0,160.0,0.0,"(40.697330, -73.984528)"
Kings,11203,K091,Public School,No,67.0,0.0,67.0,0.0,"(40.661806, -73.940707)"
Kings,11203,K135,Public School,No,73.0,0.0,73.0,0.0,"(40.653093, -73.932949)"
Kings,11203,K181,Public School,No,244.0,0.0,244.0,0.0,"(40.648217, -73.945883)"
Kings,11203,K208,Public School,No,59.0,0.0,59.0,0.0,"(40.642700, -73.930898)"
Kings,11203,K232,Public School,No,73.0,0.0,73.0,0.0,"(40.659088, -73.928744)"
Kings,11203,K244,Public School,No,213.0,0.0,213.0,0.0,"(40.647851, -73.925592)"
Kings,11203,K268,Public School,No,139.0,0.0,139.0,0.0,"(40.657421, -73.92756)"
Kings,11203,K285,Public School,No,84.0,0.0,84.0,0.0,"(40.647818, -73.920784)"
Kings,11203,K391,Public School,No,122.0,0.0,122.0,0.0,"(40.662092, -73.936313)"
Kings,11203,K395,Public School,No,183.0,0.0,183.0,0.0,"(40.635842, -73.933099)"
Kings,11203,K397,Public School,No,72.0,0.0,72.0,0.0,"(40.658663, -73.946358)"
Kings,11203,K415,Public School,No,148.0,0.0,148.0,0.0,"(40.647728, -73.922212)"
Kings,11203,K457,Public School,No,25.0,0.0,25.0,0.0,"(40.661049, -73.935766)"
Kings,11203,K470,Public School,No,199.0,0.0,199.0,0.0,"(40.658671, -73.943839)"
Kings,11203,K855,Public School,No,58.0,0.0,58.0,0.0,"(40.644094, -73.921362)"
Kings,11204,K048,Public School,No,77.0,0.0,77.0,0.0,"(40.621481, -73.987165)"
Kings,11204,K096,Public School,No,90.0,0.0,90.0,0.0,"(40.608135, -73.984985)"
Kings,11204,K121,Public School,No,58.0,0.0,58.0,0.0,"(40.622671, -73.978472)"
Kings,11204,K177,Public School,No,93.0,0.0,93.0,0.0,"(40.608169, -73.974425)"
Kings,11204,K180,Public School,No,90.0,0.0,90.0,0.0,"(40.626454, -73.989250)"
Kings,11204,K192,Public School,No,76.0,0.0,76.0,0.0,"(40.628800, -73.979540)"
Kings,11204,K205,Public School,No,109.0,0.0,109.0,0.0,"(40.614737, -73.986792)"
Kings,11204,K223,Public School,No,97.0,0.0,97.0,0.0,"(40.635100, -73.982424)"
Kings,11204,K226,Public School,No,101.0,0.0,101.0,0.0,"(40.615405, -73.977099)"
Kings,11204,K227,Public School,No,113.0,0.0,113.0,0.0,"(40.622102, -73.995961)"
Kings,11204,K237,Public School,No,186.0,0.0,186.0,0.0,"(40.606994, -73.986678)"
Kings,11204,K247,Public School,No,56.0,0.0,56.0,0.0,"(40.612247, -73.987195)"
Kings,11204,K491,Public School,No,37.0,0.0,37.0,0.0,"(40.610983, -73.985835)"
Kings,11204,K505,Public School,No,132.0,0.0,132.0,0.0,"(40.621299, -73.982583)"
Kings,11204,K767,Public School,No,48.0,0.0,48.0,0.0,"(40.631776, -73.982211)"
Kings,11205,K020,Public School,No,180.0,0.0,180.0,0.0,"(40.690742, -73.970896)"
Kings,11205,K046,Public School,No,126.0,0.0,126.0,0.0,"(40.69453, -73.971644)"
Kings,11205,K054,Public School,No,76.0,0.0,76.0,0.0,"(40.692616, -73.952504)"
Kings,11205,K067,Public School,No,97.0,0.0,97.0,0.0,"(40.695339, -73.977674)"
Kings,11205,K113,Public School,No,105.0,0.0,105.0,0.0,"(40.688769, -73.971474)"
Kings,11205,K117,Public School,No,131.0,0.0,131.0,0.0,"(40.692015, -73.958180)"
Kings,11205,K157,Public School,No,89.0,0.0,89.0,0.0,"(40.695397, -73.959999)"
Kings,11205,K265,Public School,No,81.0,0.0,81.0,0.0,"(40.697177, -73.976104)"
Kings,11205,K270,Public School,No,115.0,0.0,115.0,0.0,"(40.691275, -73.961134)"
Kings,11205,K777,Public School,No,32.0,0.0,32.0,0.0,"(40.702258, -73.972767)"
Kings,11205,K914,Public School,No,102.0,0.0,102.0,0.0,"(40.695389, -73.968759)"
Kings,11206,K018,Public School,No,43.0,0.0,43.0,0.0,"(40.71088, -73.946695)"
Kings,11206,K023,Public School,No,133.0,0.0,133.0,0.0,"(40.69447, -73.947256)"
Kings,11206,K033,Public School,No,125.0,0.0,125.0,0.0,"(40.696698, -73.947557)"
Kings,11206,K049,Public School,No,123.0,0.0,123.0,0.0,"(40.709765, -73.944463)"
Kings,11206,K059,Public School,No,117.0,0.0,117.0,0.0,"(40.697619, -73.943279)"
Kings,11206,K071,Public School,No,146.0,0.0,146.0,0.0,"(40.703996, -73.953304)"
Kings,11206,K120,Public School,No,138.0,0.0,138.0,0.0,"(40.700819, -73.937888)"
Kings,11206,K145,Public School,No,83.0,0.0,83.0,0.0,"(40.701107, -73.932388)"
Kings,11206,K147,Public School,No,97.0,0.0,97.0,0.0,"(40.705005, -73.93879)"
Kings,11206,K196,Public School,No,103.0,0.0,103.0,0.0,"(40.708804, -73.939385)"
Kings,11206,K250,Public School,No,120.0,0.0,120.0,0.0,"(40.706708, -73.945659)"
Kings,11206,K257,Public School,No,142.0,0.0,142.0,0.0,"(40.702759, -73.941345)"
Kings,11206,K297,Public School,No,119.0,0.0,119.0,0.0,"(40.697377, -73.948166)"
Kings,11206,K304,Public School,No,135.0,0.0,135.0,0.0,"(40.693654, -73.941278)"
Kings,11206,K318,Public School,No,127.0,0.0,127.0,0.0,"(40.703034, -73.948771)"
Kings,11206,K380,Public School,No,161.0,0.0,161.0,0.0,"(40.701790, -73.953702)"
Kings,11206,K799,Public School,No,16.0,0.0,16.0,0.0,"(40.702332, -73.929693)"
Kings,11207,K013,Public School,No,154.0,0.0,154.0,0.0,"(40.664067, -73.893328)"
Kings,11207,K045,Public School,No,156.0,0.0,156.0,0.0,"(40.686424, -73.910430)"
Kings,11207,K149,Public School,No,97.0,0.0,97.0,0.0,"(40.669361, -73.892760)"
Kings,11207,K151,Public School,No,66.0,0.0,66.0,0.0,"(40.693432, -73.908242)"
Kings,11207,K158,Public School,No,77.0,0.0,77.0,0.0,"(40.672590, -73.885214)"
Kings,11207,K166,Public School,No,88.0,0.0,88.0,0.0,"(40.659934, -73.885704)"
Kings,11207,K174,Public School,No,65.0,0.0,65.0,0.0,"(40.665446, -73.897604)"
Kings,11207,K190,Public School,No,108.0,0.0,108.0,0.0,"(40.662243, -73.894877)"
Kings,11207,K213,Public School,No,114.0,0.0,114.0,0.0,"(40.659845, -73.889968)"
Kings,11207,K260,Public School,No,111.0,0.0,111.0,0.0,"(40.653368, -73.893294)"
Kings,11207,K273,Public School,No,136.0,0.0,136.0,0.0,"(40.6585, -73.879276)"
Kings,11207,K290,Public School,No,94.0,0.0,94.0,0.0,"(40.678182, -73.889375)"
Kings,11207,K292,Public School,No,139.0,0.0,139.0,0.0,"(40.671601, -73.893319)"
Kings,11207,K296,Public School,No,103.0,0.0,103.0,0.0,"(40.688647, -73.910589)"
Kings,11207,K306,Public School,No,97.0,0.0,97.0,0.0,"(40.655340, -73.886620)"
Kings,11207,K328,Public School,No,147.0,0.0,147.0,0.0,"(40.667985, -73.898249)"
Kings,11207,K384,Public School,No,178.0,0.0,178.0,0.0,"(40.689883, -73.904695)"
Kings,11207,K435,Public School,No,132.0,0.0,132.0,0.0,"(40.666868, -73.895122)"
Kings,11207,K660,Public School,No,142.0,0.0,142.0,0.0,"(40.673766, -73.895976)"
Kings,11207,K814,Public School,No,93.0,0.0,93.0,0.0,"(40.677707, -73.886712)"
Kings,11207,K842,Public School,No,26.0,0.0,26.0,0.0,"(40.687962, -73.907972)"
Kings,11207,K848,Public School,No,25.0,0.0,25.0,0.0,"(40.6684, -73.895)"
Kings,11207,K857,Public School,No,39.0,0.0,39.0,0.0,"(40.660465, -73.887195)"
Kings,11207,K893,Public School,No,8.0,0.0,8.0,0.0,"(40.659843, -73.889968)"
Kings,11207,K932,Public School,No,29.0,0.0,29.0,0.0,"(40.672292, -73.886750)"
Kings,11208,K007,Public School,No,136.0,0.0,136.0,0.0,"(40.689213, -73.872983)"
Kings,11208,K065,Public School,No,20.0,0.0,20.0,0.0,"(40.683399, -73.877256)"
Kings,11208,K072,Public School,No,155.0,0.0,155.0,0.0,"(40.669358, -73.879131)"
Kings,11208,K108,Public School,No,52.0,0.0,52.0,0.0,"(40.681295, -73.884348)"
Kings,11208,K159,Public School,No,60.0,0.0,60.0,0.0,"(40.676111, -73.869705)"
Kings,11208,K202,Public School,No,83.0,0.0,83.0,0.0,"(40.665817, -73.876084)"
Kings,11208,K214,Public School,No,66.0,0.0,66.0,0.0,"(40.675881, -73.862961)"
Kings,11208,K218,Public School,No,100.0,0.0,100.0,0.0,"(40.670020, -73.874537)"
Kings,11208,K224,Public School,No,149.0,0.0,149.0,0.0,"(40.664143, -73.866542)"
Kings,11208,K302,Public School,No,135.0,0.0,135.0,0.0,"(40.677112, -73.884211)"
Kings,11208,K345,Public School,No,138.0,0.0,138.0,0.0,"(40.676207, -73.879886)"
Kings,11208,K420,Public School,No,159.0,0.0,159.0,0.0,"(40.693002, -73.869305)"
Kings,11208,K421,Public School,No,10.0,0.0,10.0,0.0,"(40.693002, -73.869305)"
Kings,11208,K422,Public School,No,162.0,0.0,162.0,0.0,"(40.657266, -73.874064)"
Kings,11208,K615,Public School,No,95.0,0.0,95.0,0.0,"(40.678780, -73.875328)"
Kings,11208,K798,Public School,No,147.0,0.0,147.0,0.0,"(40.686534, -73.878353)"
Kings,11208,K991,Public School,No,6.0,0.0,6.0,0.0,"(40.689213, -73.872983)"
Kings,11209,K102,Public School,No,101.0,0.0,101.0,0.0,"(40.634318, -74.028758)"
Kings,11209,K104,Public School,No,64.0,0.0,64.0,0.0,"(40.618077, -74.028492)"
Kings,11209,K170,Public School,No,148.0,0.0,148.0,0.0,"(40.630373, -74.018719)"
Kings,11209,K185,Public School,No,78.0,0.0,78.0,0.0,"(40.623598, -74.033429)"
Kings,11209,K490,Public School,No,112.0,0.0,112.0,0.0,"(40.626827, -74.038103)"
Kings,11209,K940,Public School,No,60.0,0.0,60.0,0.0,"(40.633710, -74.023036)"
Kings,11210,K042,Public School,No,41.0,0.0,41.0,0.0,"(40.63436, -73.941795)"
Kings,11210,K063,Public School,No,45.0,0.0,45.0,0.0,"(40.61845, -73.94633)"
Kings,11210,K119,Public School,No,54.0,0.0,54.0,0.0,"(40.626038, -73.938733)"
Kings,11210,K152,Public School,No,129.0,0.0,129.0,0.0,"(40.632619, -73.954269)"
Kings,11210,K193,Public School,No,60.0,0.0,60.0,0.0,"(40.622080, -73.950321)"
Kings,11210,K197,Public School,No,103.0,0.0,103.0,0.0,"(40.612339, -73.951398)"
Kings,11210,K198,Public School,No,73.0,0.0,73.0,0.0,"(40.637601, -73.937083)"
Kings,11210,K240,Public School,No,102.0,0.0,102.0,0.0,"(40.623788, -73.946836)"
Kings,11210,K269,Public School,No,154.0,0.0,154.0,0.0,"(40.637625, -73.947672)"
Kings,11210,K405,Public School,No,112.0,0.0,112.0,0.0,"(40.632829, -73.952356)"
Kings,11210,K705,Public School,No,39.0,0.0,39.0,0.0,"(40.632449, -73.952801)"
Kings,11211,K016,Public School,No,193.0,0.0,193.0,0.0,"(40.706069, -73.962049)"
Kings,11211,K050,Public School,No,125.0,0.0,125.0,0.0,"(40.711915, -73.960137)"
Kings,11211,K084,Public School,No,156.0,0.0,156.0,0.0,"(40.715089, -73.963808)"
Kings,11211,K132,Public School,No,143.0,0.0,143.0,0.0,"(40.714772, -73.945663)"
Kings,11211,K319,Public School,No,28.0,0.0,28.0,0.0,"(40.709632, -73.953881)"
Kings,11211,K450,Public School,No,190.0,0.0,190.0,0.0,"(40.711134, -73.938921)"
Kings,11211,K650,Public School,No,156.0,0.0,156.0,0.0,"(40.715561, -73.954815)"
Kings,11212,K041,Public School,No,121.0,0.0,121.0,0.0,"(40.660455, -73.906925)"
Kings,11212,K150,Public School,No,75.0,0.0,75.0,0.0,"(40.668768, -73.905140)"
Kings,11212,K165,Public School,No,57.0,0.0,57.0,0.0,"(40.657061, -73.910938)"
Kings,11212,K175,Public School,No,85.0,0.0,85.0,0.0,"(40.665568, -73.912102)"
Kings,11212,K183,Public School,No,83.0,0.0,83.0,0.0,"(40.659618, -73.913508)"
Kings,11212,K184,Public School,No,84.0,0.0,84.0,0.0,"(40.660385, -73.905004)"
Kings,11212,K189,Public School,No,91.0,0.0,91.0,0.0,"(40.665228, -73.925435)"
Kings,11212,K219,Public School,No,89.0,0.0,89.0,0.0,"(40.658834, -73.922296)"
Kings,11212,K252,Public School,No,91.0,0.0,91.0,0.0,"(40.657712, -73.919818)"
Kings,11212,K263,Public School,No,124.0,0.0,124.0,0.0,"(40.666187, -73.911279)"
Kings,11212,K275,Public School,No,122.0,0.0,122.0,0.0,"(40.655644, -73.906662)"
Kings,11212,K284,Public School,No,73.0,0.0,73.0,0.0,"(40.666942, -73.907634)"
Kings,11212,K298,Public School,No,118.0,0.0,118.0,0.0,"(40.671015, -73.907718)"
Kings,11212,K327,Public School,No,113.0,0.0,113.0,0.0,"(40.668232, -73.911788)"
Kings,11212,K332,Public School,No,120.0,0.0,120.0,0.0,"(40.672216, -73.906018)"
Kings,11212,K356,Public School,No,169.0,0.0,169.0,0.0,"(40.665553, -73.917880)"
Kings,11212,K396,Public School,No,88.0,0.0,88.0,0.0,"(40.668232, -73.911788)"
Kings,11212,K398,Public School,No,139.0,0.0,139.0,0.0,"(40.663388, -73.927979)"
Kings,11212,K860,Public School,No,37.0,0.0,37.0,0.0,"(40.659914, -73.920658)"
Kings,11212,K907,Public School,No,59.0,0.0,59.0,0.0,"(40.666251, -73.923881)"
Kings,11213,K210,Public School,No,87.0,0.0,87.0,0.0,"(40.672710, -73.928917)"
Kings,11213,K221,Public School,No,72.0,0.0,72.0,0.0,"(40.663964, -73.935753)"
Kings,11213,K243,Public School,No,153.0,0.0,153.0,0.0,"(40.675675, -73.935093)"
Kings,11213,K289,Public School,No,151.0,0.0,151.0,0.0,"(40.674244, -73.942401)"
Kings,11213,K335,Public School,No,143.0,0.0,143.0,0.0,"(40.674491, -73.928673)"
Kings,11213,K390,Public School,No,99.0,0.0,99.0,0.0,"(40.672290, -73.937601)"
Kings,11213,K455,Public School,No,201.0,0.0,201.0,0.0,"(40.678478, -73.931604)"
Kings,11213,K625,Public School,No,129.0,0.0,129.0,0.0,"(40.675905, -73.939282)"
Kings,11213,K867,Public School,No,23.0,0.0,23.0,0.0,"(40.673770, -73.944961)"
Kings,11213,K883,Public School,No,10.0,0.0,10.0,0.0,"(40.670841, -73.938969)"
Kings,11213,K892,Public School,No,14.0,0.0,14.0,0.0,"(40.663964, -73.935753)"
Kings,11214,K101,Public School,No,61.0,0.0,61.0,0.0,"(40.597379, -73.991962)"
Kings,11214,K128,Public School,No,60.0,0.0,60.0,0.0,"(40.60498, -73.995084)"
Kings,11214,K163,Public School,No,52.0,0.0,52.0,0.0,"(40.606739, -74.007469)"
Kings,11214,K186,Public School,No,74.0,0.0,74.0,0.0,"(40.610917, -73.994258)"
Kings,11214,K200,Public School,No,141.0,0.0,141.0,0.0,"(40.602809, -74.001915)"
Kings,11214,K212,Public School,No,81.0,0.0,81.0,0.0,"(40.587612, -73.985368)"
Kings,11214,K281,Public School,No,118.0,0.0,118.0,0.0,"(40.594648, -73.993565)"
Kings,11214,K400,Public School,No,126.0,0.0,126.0,0.0,"(40.593028, -73.986313)"
Kings,11214,K401,Public School,No,5.0,0.0,5.0,0.0,"(40.593028, -73.986313)"
Kings,11214,K445,Public School,No,159.0,0.0,159.0,0.0,"(40.613041, -74.002308)"
Kings,11214,K721,Public School,No,76.0,0.0,76.0,0.0,"(40.604980, -73.995084)"
Kings,11214,K807,Public School,No,158.0,0.0,158.0,0.0,"(40.606739, -74.007469)"
Kings,11215,K051,Public School,No,94.0,0.0,94.0,0.0,"(40.672358, -73.985050)"
Kings,11215,K088,Public School,No,141.0,0.0,141.0,0.0,"(40.660805, -73.988743)"
Kings,11215,K107,Public School,No,81.0,0.0,81.0,0.0,"(40.662945, -73.981181)"
Kings,11215,K154,Public School,No,55.0,0.0,55.0,0.0,"(40.657002, -73.975967)"
Kings,11215,K321,Public School,No,128.0,0.0,128.0,0.0,"(40.671816, -73.978633)"
Kings,11215,K460,Public School,No,126.0,0.0,126.0,0.0,"(40.669255, -73.978580)"
Kings,11215,K834,Public School,No,54.0,0.0,54.0,0.0,"(40.676198, -73.9855)"
Kings,11215,K845,Public School,No,63.0,0.0,63.0,0.0,"(40.660805, -73.988743)"
Kings,11216,K003,Public School,No,116.0,0.0,116.0,0.0,"(40.682311, -73.955219)"
Kings,11216,K093,Public School,No,83.0,0.0,83.0,0.0,"(40.679079, -73.946381)"
Kings,11216,K138,Public School,No,69.0,0.0,69.0,0.0,"(40.673943, -73.951559)"
Kings,11216,K256,Public School,No,141.0,0.0,141.0,0.0,"(40.690595, -73.949610)"
Kings,11216,K258,Public School,No,108.0,0.0,108.0,0.0,"(40.681920, -73.945600)"
Kings,11216,K305,Public School,No,113.0,0.0,113.0,0.0,"(40.685653, -73.94573)"
Kings,11216,K434,Public School,No,182.0,0.0,182.0,0.0,"(40.677266, -73.942390)"
Kings,11216,K458,Public School,No,134.0,0.0,134.0,0.0,"(40.684654, -73.947873)"
Kings,11216,K743,Public School,No,40.0,0.0,40.0,0.0,"(40.681512, -73.949130)"
Kings,11216,K994,Public School,No,30.0,0.0,30.0,0.0,"(40.685486, -73.953692)"
Kings,11217,K038,Public School,No,130.0,0.0,130.0,0.0,"(40.684945, -73.982826)"
Kings,11217,K282,Public School,No,133.0,0.0,133.0,0.0,"(40.676649, -73.977983)"
Kings,11217,K317,Public School,No,197.0,0.0,197.0,0.0,"(40.679916, -73.980455)"
Kings,11217,K369,Public School,No,38.0,0.0,38.0,0.0,"(40.687432, -73.983312)"
Kings,11217,K430,Public School,No,308.0,0.0,308.0,0.0,"(40.688896, -73.976435)"
Kings,11217,K655,Public School,No,68.0,0.0,68.0,0.0,"(40.683951, -73.980266)"
Kings,11217,K656,Public School,No,68.0,0.0,68.0,0.0,"(40.684322, -73.980987)"
Kings,11217,K902,Public School,No,42.0,0.0,42.0,0.0,"(40.678809, -73.976648)"
Kings,11218,K062,Public School,No,91.0,0.0,91.0,0.0,"(40.638087, -73.971153)"
Kings,11218,K179,Public School,No,85.0,0.0,85.0,0.0,"(40.640127, -73.977260)"
