County,Zip,School,Type of Organization,Any Building with Lead-Free Plumbing?,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,County Location
Bronx,10451,X018,Public School,No,153.0,0.0,153.0,0.0,"(40.816369, -73.922697)"
Bronx,10451,X029,Public School,No,152.0,0.0,152.0,0.0,"(40.821544, -73.916419)"
Bronx,10451,X151,Public School,No,123.0,0.0,123.0,0.0,"(40.822574, -73.921140)"
Bronx,10451,X156,Public School,No,166.0,0.0,166.0,0.0,"(40.823014, -73.922527)"
Bronx,10451,X183,Public School,No,111.0,0.0,111.0,0.0,"(40.813681, -73.925995)"
Bronx,10451,X460,Public School,No,109.0,0.0,109.0,0.0,"(40.827461, -73.919024)"
Bronx,10451,X600,Public School,No,146.0,0.0,146.0,0.0,"(40.818645, -73.919949)"
Bronx,10451,X601,Public School,No,4.0,0.0,4.0,0.0,"(40.818645, -73.919949)"
Bronx,10451,X790,Public School,No,308.0,0.0,308.0,0.0,"(40.821828, -73.922366)"
Bronx,10451,X884,Public School,No,72.0,0.0,72.0,0.0,"(40.815712, -73.929960)"
Bronx,10452,X011,Public School,No,55.0,0.0,55.0,0.0,"(40.839693, -73.92589)"
Bronx,10452,X064,Public School,No,60.0,0.0,60.0,0.0,"(40.8404, -73.915879)"
Bronx,10452,X073,Public School,No,66.0,0.0,66.0,0.0,"(40.832609, -73.926415)"
Bronx,10452,X104,Public School,No,80.0,0.0,80.0,0.0,"(40.843453, -73.920826)"
Bronx,10452,X114,Public School,No,54.0,0.0,54.0,0.0,"(40.834979, -73.923297)"
Bronx,10452,X126,Public School,No,137.0,0.0,137.0,0.0,"(40.835866, -73.928200)"
Bronx,10452,X170,Public School,No,86.0,0.0,86.0,0.0,"(40.844367, -73.913253)"
Bronx,10452,X172,Public School,No,91.0,0.0,91.0,0.0,"(40.842407, -73.924626)"
Bronx,10452,X235,Public School,No,144.0,0.0,144.0,0.0,"(40.835681, -73.919571)"
Bronx,10452,X240,Public School,No,174.0,0.0,174.0,0.0,"(40.842503, -73.916084)"
Bronx,10452,X285,Public School,No,92.0,0.0,92.0,0.0,"(40.838232, -73.927892)"
Bronx,10452,X873,Public School,No,7.0,0.0,7.0,0.0,"(40.832609, -73.926415)"
Bronx,10453,X015,Public School,No,202.0,0.0,202.0,0.0,"(40.859243, -73.909763)"
Bronx,10453,X026,Public School,No,128.0,0.0,128.0,0.0,"(40.854335, -73.913016)"
Bronx,10453,X079,Public School,No,165.0,0.0,165.0,0.0,"(40.855337, -73.903139)"
Bronx,10453,X091,Public School,No,50.0,0.0,50.0,0.0,"(40.858286, -73.907494)"
Bronx,10453,X109,Public School,No,121.0,0.0,121.0,0.0,"(40.851661, -73.918991)"
Bronx,10453,X117,Public School,No,54.0,0.0,54.0,0.0,"(40.848552, -73.909022)"
Bronx,10453,X229,Public School,No,151.0,0.0,151.0,0.0,"(40.852400, -73.921600)"
Bronx,10453,X279,Public School,No,174.0,0.0,174.0,0.0,"(40.854666, -73.904958)"
Bronx,10453,X306,Public School,No,211.0,0.0,211.0,0.0,"(40.850722, -73.910827)"
Bronx,10453,X338,Public School,No,148.0,0.0,148.0,0.0,"(40.849416, -73.915217)"
