COUNTY,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Seneca,34295,16409,13784,6861,612,3238,3723,2649,6574,6858,5227,529,296,3988,434,1962,119,1162,3096,30855,5602,1655,1244,265,125,7,657,35,21.9,3.8,23.5,15.1,8.4,19.2,20.0,16.6,3.8,0.9,11.6,2.6,12.0,0.9,8.4,9.0,18.0,4.8,3.6,0.8,0.4,0.0,1.9,0.1,0.6557,0.5738,0.4754,0.4098,0.5574
St. Lawrence,108352,53328,41925,26289,3258,9831,8179,6121,18836,21765,17011,2390,805,8942,2973,5546,1055,4087,11530,108378,15647,2576,2554,1079,725,54,1783,171,27.2,6.8,23.4,11.4,5.8,17.4,20.1,16.2,5.7,0.8,8.3,5.6,10.4,2.5,9.7,10.6,16.2,2.4,2.4,1.0,0.7,0.0,1.6,0.2,0.8852,0.623,0.2295,0.9836,0.9344
Steuben,95843,49688,40099,22288,2646,8525,5979,5144,18596,20696,14449,2567,663,6554,1881,7115,376,3594,1729,93780,13117,1464,1614,1493,132,0,1584,267,23.7,5.7,21.3,8.8,5.4,19.4,21.6,15.3,6.4,0.7,6.8,3.8,14.3,0.9,9.0,1.8,13.9,1.5,1.7,1.6,0.1,0.0,1.7,0.3,0.459,0.9344,0.1639,0.2459,0.4918
Suffolk,1481364,576804,495667,155813,35874,128779,99732,61432,250684,313746,140984,21142,50368,489502,33527,6166,11033,27139,26872,1459885,121008,105591,290261,59874,2409,339,25175,5853,10.7,4.5,26.0,9.6,4.2,16.9,21.2,9.6,4.3,3.6,33.0,5.8,1.1,2.2,5.5,1.8,8.3,7.1,19.6,4.0,0.2,0.0,1.7,0.4,0.2623,0.2131,0.8525,0.1311,0.2295
Sullivan,75329,50966,28762,16781,2593,8387,6952,4192,14255,16012,11642,1765,1734,22181,1233,4889,554,2727,3633,69240,9387,5806,12321,1218,143,6,2028,659,23.0,7.3,29.2,13.0,5.7,18.9,21.3,15.9,6.1,2.4,29.4,2.4,9.6,1.9,9.5,4.8,13.1,7.7,16.4,1.6,0.2,0.0,2.7,0.9,0.9508,0.9672,0.8033,0.5574,0.9672
Tioga,48431,22571,20643,9136,1352,4525,2849,1500,9769,10095,7366,816,132,2645,488,3258,148,1202,534,39607,4952,398,993,417,83,0,721,33,19.1,5.7,21.9,8.2,3.1,20.2,20.8,15.3,4.0,0.3,5.5,2.2,14.4,0.7,5.8,1.1,10.3,0.8,2.1,0.9,0.2,0.0,1.5,0.1,0.1148,0.2787,0.0492,0.0164,0.0492
Tompkins,102237,44019,40817,21245,2164,13099,3308,3644,14640,15069,10199,2123,1190,23624,6215,3385,643,5304,13427,121986,10453,3764,5343,9581,89,40,4489,318,23.9,4.1,32.1,5.5,3.6,14.3,14.7,10.1,5.2,1.2,23.1,14.1,7.7,1.6,13.0,13.1,11.8,3.7,5.2,9.4,0.1,0.0,4.4,0.3,0.3607,0.0164,0.7213,1.0,0.5082
Ulster,178371,85372,70088,34499,4869,22387,11529,9366,35285,31538,25111,3570,2821,41114,4599,5589,1337,4881,11633,160210,15147,9834,18800,3217,121,11,8060,1071,20.2,5.4,31.9,8.8,5.4,19.8,17.7,14.4,5.1,1.7,23.0,5.4,6.5,1.9,7.0,6.5,9.1,5.5,10.5,1.8,0.1,0.0,4.5,0.6,0.6721,0.4918,0.7049,0.6066,0.6885
Warren,64187,40119,29034,9987,1365,7186,3797,2679,14319,11640,9460,1116,184,4192,2213,1818,243,2544,906,74872,6899,632,1720,549,96,30,1069,96,15.8,4.1,24.8,7.9,4.2,22.3,18.1,14.9,3.8,0.3,6.5,5.5,4.5,0.8,8.8,1.4,10.9,1.0,2.7,0.9,0.1,0.0,1.7,0.1,0.1639,0.1311,0.1311,0.0656,0.0656
Washington,61304,29562,24054,11367,1664,6191,5355,2867,11905,11535,9266,1223,398,5168,791,1553,404,2226,3250,49349,7948,1596,1738,356,176,23,1229,50,19.6,5.6,25.7,12.0,4.9,19.4,18.8,15.9,5.1,0.7,8.4,2.7,5.3,1.7,9.3,5.3,13.7,2.6,2.8,0.6,0.3,0.0,2.0,0.1,0.7213,0.4754,0.2623,0.3115,0.5246
Wayne,90103,41792,37281,16871,1691,8892,6482,4345,16957,19299,13546,2102,652,9668,1442,2780,562,2872,1617,77248,10851,2145,4087,755,51,4,2405,221,19.0,3.7,23.9,10.1,4.9,18.8,21.4,15.2,5.6,0.8,10.7,3.5,6.7,1.5,7.7,1.8,12.3,2.4,4.5,0.8,0.1,0.0,2.7,0.2,0.2787,0.7705,0.459,0.1148,0.3279
Westchester,968738,376315,353485,132543,29288,99113,76376,52370,165858,212908,91254,20943,53494,457984,107791,816,13923,49453,25288,970651,78568,130047,241442,58651,1527,212,19753,6352,14.0,5.7,28.0,11.4,5.5,17.1,22.0,9.5,5.9,5.8,47.3,28.6,0.2,3.9,14.0,2.6,8.3,13.4,24.9,6.1,0.2,0.0,2.0,0.7,0.6885,0.6721,0.9344,0.8689,0.8361
Wyoming,40027,18297,16055,6321,920,3067,2803,1539,7239,7603,4959,788,249,4106,337,1535,117,1019,2420,34951,5545,1809,1341,182,88,0,686,0,16.9,4.7,19.1,9.5,4.1,18.1,19.0,13.2,4.9,0.7,10.3,1.8,8.4,0.7,6.3,6.0,14.7,4.5,3.4,0.5,0.2,0.0,1.7,0.0,0.1475,0.1475,0.4098,0.082,0.0984
Yates,24981,13919,8901,5347,439,2217,2246,4124,5159,5625,2780,406,133,1335,396,1420,158,1101,1252,20882,6459,243,555,164,4,7,323,39,22.5,3.8,24.9,13.5,16.7,20.7,22.5,11.3,4.6,0.6,5.3,2.8,10.2,1.8,12.4,5.0,27.2,1.0,2.2,0.7,0.0,0.0,1.3,0.2,0.7377,0.459,0.0328,0.8197,0.623
